title,actor,role
The Lord of the Rings: The Fellowship of the Ring,Elijah Wood,Frodo Baggins
The Lord of the Rings: The Fellowship of the Ring,Ian McKellen,Gandalf the Grey
The Lord of the Rings: The Fellowship of the Ring,Viggo Mortensen,Aragorn
The Lord of the Rings: The Fellowship of the Ring,Sean Astin,Samwise Gamgee
The Lord of the Rings: The Fellowship of the Ring,Sean Bean,Boromir
The Lord of the Rings: The Fellowship of the Ring,Billy Boyd,Peregrin Took
The Lord of the Rings: The Fellowship of the Ring,Dominic Monaghan,Meriadoc Brandybuck
The Lord of the Rings: The Fellowship of the Ring,John Rhys-Davies,Gimli
The Lord of the Rings: The Fellowship of the Ring,Orlando Bloom,Legolas
The Lord of the Rings: The Fellowship of the Ring,Liv Tyler,Arwen
The Lord of the Rings: The Fellowship of the Ring,Cate Blanchett,Galadriel
The Lord of the Rings: The Fellowship of the Ring,Christopher Lee,Saruman the White
The Lord of the Rings: The Fellowship of the Ring,Hugo Weaving,Elrond
The Lord of the Rings: The Fellowship of the Ring,Ian Holm,Bilbo Baggins
The Lord of the Rings: The Fellowship of the Ring,Andy Serkis,Gollum
The Lord of the Rings: The Two Towers,Elijah Wood,Frodo Baggins
The Lord of the Rings: The Two Towers,Ian McKellen,Gandalf the White
The Lord of the Rings: The Two Towers,Viggo Mortensen,Aragorn
The Lord of the Rings: The Two Towers,Sean Astin,Samwise Gamgee
The Lord of the Rings: The Two Towers,Andy Serkis,Gollum
The Lord of the Rings: The Two Towers,Billy Boyd,Peregrin Took
The Lord of the Rings: The Two Towers,Dominic Monaghan,Meriadoc Brandybuck
The Lord of the Rings: The Two Towers,John Rhys-Davies,Gimli
The Lord of the Rings: The Two Towers,Orlando Bloom,Legolas
The Lord of the Rings: The Two Towers,Bernard Hill,Théoden
The Lord of the Rings: The Two Towers,Christopher Lee,Saruman the White
The Lord of the Rings: The Two Towers,Hugo Weaving,Elrond
The Lord of the Rings: The Two Towers,Miranda Otto,Éowyn
The Lord of the Rings: The Two Towers,David Wenham,Faramir
The Lord of the Rings: The Two Towers,Brad Dourif,Gríma Wormtongue
The Lord of the Rings: The Two Towers,Karl Urban,Éomer
The Lord of the Rings: The Two Towers,Liv Tyler,Arwen
The Lord of the Rings: The Two Towers,Cate Blanchett,Galadriel
The Lord of the Rings: The Two Towers,Sean Bean,Boromir
The Lord of the Rings: The Two Towers,Craig Parker,Haldir
The Lord of the Rings: The Two Towers,John Leigh,Háma
The Lord of the Rings: The Two Towers,Bruce Hopkins,Gamling
The Lord of the Rings: The Two Towers,John Bach,Madril
The Lord of the Rings: The Two Towers,Nathaniel Lees,Ugluk
The Lord of the Rings: The Return of the King,Elijah Wood,Frodo Baggins
The Lord of the Rings: The Return of the King,Ian McKellen,Gandalf the White
The Lord of the Rings: The Return of the King,Viggo Mortensen,Aragorn
The Lord of the Rings: The Return of the King,Sean Astin,Samwise Gamgee
The Lord of the Rings: The Return of the King,Andy Serkis,Gollum
The Lord of the Rings: The Return of the King,Billy Boyd,Peregrin Took
The Lord of the Rings: The Return of the King,Dominic Monaghan,Meriadoc Brandybuck
The Lord of the Rings: The Return of the King,John Rhys-Davies,Gimli
The Lord of the Rings: The Return of the King,Orlando Bloom,Legolas
The Lord of the Rings: The Return of the King,Bernard Hill,Théoden
The Lord of the Rings: The Return of the King,Miranda Otto,Éowyn
The Lord of the Rings: The Return of the King,David Wenham,Faramir
The Lord of the Rings: The Return of the King,Karl Urban,Éomer
The Lord of the Rings: The Return of the King,Hugo Weaving,Elrond
The Lord of the Rings: The Return of the King,Liv Tyler,Arwen
The Lord of the Rings: The Return of the King,Cate Blanchett,Galadriel
The Lord of the Rings: The Return of the King,John Noble,Denethor
The Lord of the Rings: The Return of the King,Ian Holm,Bilbo Baggins
The Lord of the Rings: The Return of the King,Sean Bean,Boromir
The Lord of the Rings: The Return of the King,Marton Csokas,Celeborn the Wise
The Lord of the Rings: The Return of the King,Lawrence Makoare,the Witch-king of Angmar
The Lord of the Rings: The Return of the King,Thomas Robins,Déagol
The Lord of the Rings: The Rings of Power,Morfydd Clark,Galadriel
The Lord of the Rings: The Rings of Power,Lenny Henry,Sadoc Burrows
The Lord of the Rings: The Rings of Power,Sara Zwangobani,Marigold Brandyfoot
The Lord of the Rings: The Rings of Power,Dylan Smith,Largo Brandyfoot
The Lord of the Rings: The Rings of Power,Markella Kavenagh,"Elanor ""Nori"" Brandyfoot"
The Lord of the Rings: The Rings of Power,Megan Richards,Poppy Proudfellow
The Lord of the Rings: The Rings of Power,Robert Aramayo,Elrond
The Lord of the Rings: The Rings of Power,Benjamin Walker,Gil-galad
The Lord of the Rings: The Rings of Power,Ismael Cruz Córdova,Arondir
The Lord of the Rings: The Rings of Power,Nazanin Boniadi,Bronwyn
The Lord of the Rings: The Rings of Power,Tyroe Muhafidin,Theo
The Lord of the Rings: The Rings of Power,Charles Edwards,Celebrimbor
The Lord of the Rings: The Rings of Power,Daniel Weyman,the stranger
The Lord of the Rings: The Rings of Power,Owain Arthur,Durin IV
The Lord of the Rings: The Rings of Power,Charlie Vickers,Sauron
The Lord of the Rings: The Rings of Power,Sophia Nomvete,Disa
The Lord of the Rings: The Rings of Power,Lloyd Owen,Elendil
The Lord of the Rings: The Rings of Power,Cynthia Addai-Robinson,Míriel
The Lord of the Rings: The Rings of Power,Trystan Gravelle,Pharazôn
The Lord of the Rings: The Rings of Power,Maxim Baldry,Isildur
The Lord of the Rings: The Rings of Power,Ema Horvath,Eärien
The Lord of the Rings: The Rings of Power,Sam Hazeldine,Adar
The Lord of the Rings: The Rings of Power,Joseph Mawle,Adar
The Lord of the Rings: The Rings of Power,Leon Wadham,Kemen
The Lord of the Rings: The Fellowship of the Ring,Sala Baker,Sauron
The Lord of the Rings: The Fellowship of the Ring,Marton Csokas,Celeborn the Wise
The Lord of the Rings: The Fellowship of the Ring,Lawrence Makoare,Lurtz
The Lord of the Rings: The Fellowship of the Ring,Craig Parker,Haldir
The Lord of the Rings: The Fellowship of the Ring,Mark Ferguson,Ereinion Gil-galad
The Lord of the Rings: The Fellowship of the Ring,Peter McKenzie,Elendil the Tall
The Lord of the Rings: The Fellowship of the Ring,Harry Sinclair,Isildur
